amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
79.47401322443562,6482.488520646974,6403.014507422538,27547.209692030152,27626.68370525459,0.0
278.7223976676115,1914.1851806123875,1635.4627829447759,47057.01675729201,47335.73915495962,0.0
49705.34709354193,49782.09776308147,76.75066953953501,3248.866064812187,52954.21315835412,1.0
2096.097796540102,1152.0407184414046,-944.0570780986975,29982.007203448313,32078.104999988416,0.0
390.6403952478917,19176.44983443634,18785.809439188448,40455.160841152305,40845.8012364002,0.0
521.6860622201292,7899.496921572563,7377.810859352434,1610.7680225186439,2132.454084738773,0.0
3167.6505053767996,13462.414495761503,10294.763990384703,25629.546263364817,28797.196768741618,0.0
5947.375587013861,12211.372341249153,6263.9967542352915,44755.3112865046,50702.68687351846,0.0
3020.113754141812,5997.7692446642895,2977.6554905224775,29797.079786535218,32817.19354067703,0.0
5481.699967301965,4791.29196830149,-690.4079990004757,11083.192154369415,16564.89212167138,0.0
462.4050550090717,19329.39171192724,18866.98665691817,16974.695752997137,17437.10080800621,0.0
106.74097135801607,9962.70147568112,9855.960504323104,27424.179287456223,27530.92025881424,0.0
36.77977569446741,7265.6995323629235,7228.919756668456,45223.69636406438,45260.47613975885,0.0
8321.248326374467,5341.605852801496,-2979.6424735729706,10444.444635742157,18765.692962116624,0.0
786.7110408799737,19735.073360416332,18948.362319536358,11540.889259389081,12327.600300269056,0.0
435.7598214250259,10415.341188506509,9979.581367081482,37001.79724920885,37437.55707063388,0.0
5684.031489903096,18927.20331833894,13243.171828435843,21034.111852046422,26718.14334194952,0.0
28476.151466554627,28548.597508879768,72.4460423251403,9899.2149127494,38375.366379304025,1.0
1838.1643072545291,4045.4442303281057,2207.2799230735764,38147.44392557805,39985.60823283258,0.0
2380.791568992776,12461.336007182337,10080.544438189561,39861.978751140006,42242.77032013278,0.0
2822.513317084913,8534.3459095573,5711.832592472387,46447.336778631165,49269.85009571608,0.0
1229.652636848165,15199.367403078195,13969.71476623003,1413.2350524988847,2642.8876893470497,0.0
1860.9714582654715,708.0674766201739,-1152.9039816452976,16931.984734323418,18792.95619258889,0.0
329.5198031133459,13001.179019852108,12671.659216738763,6976.339027983464,7305.85883109681,0.0
142.3770125252901,7086.085936329521,6943.708923804231,46363.281631570455,46505.65864409575,0.0
5223.325526084158,19658.410321724332,14435.084795640174,45091.91582208355,50315.24134816771,0.0
49914.33068325265,50010.26307370347,95.9323904508201,172.9397576708258,50087.27044092348,1.0
299.9118122416871,6067.738898449122,5767.827086207435,17272.319290275675,17572.231102517362,0.0
